name,neighborhood,address
"HEIGHTS LIQUORS, INC.",Arlington,"5302 PARK HEIGHTS AVE
Baltimore, MD"
HELEN'S GARDEN  CAFE',Canton,"2908 O DONNELL ST
Baltimore, MD"
HELLAS COFFEE SHOP,Greektown,"4709 EASTERN AVE
Baltimore, MD"
HENNINGER'S TAVERN,Upper Fells Point,"1810 BANK ST
Baltimore, MD"
"HIDING SPOT, INC.",Brooklyn,"3638 HANOVER ST
Baltimore, MD"
"HIGH GROUNDS COFFEE ROASTERS, LLC",Highlandtown,"3201 EASTERN AVE
Baltimore, MD"
HIGHLAND CLIPPER CLUB,Brewers Hill,"621 DEAN ST
Baltimore, MD"
HILLEN RESTAURANT,Penn-Fallsway,"1041 HILLEN ST
Baltimore, MD"
HIPPOPOTAMUS (932-34),Mount Vernon,"932 CHARLES ST
Baltimore, MD"
HOGAN'S ALLEY,Riverside,"1501 COVINGTON ST
Baltimore, MD"
HOLIDAY HOUSE,Westfield,"6427 HARFORD RD
Baltimore, MD"
HOLIDAY INN-INNER HARBOR,Inner Harbor,"301 LOMBARD ST
Baltimore, MD"
HOLIDAY RESTAURANT,Brooklyn,"3570 HANOVER ST
Baltimore, MD"
HOLLINS STREET PUB,Hollins Market,"1214 HOLLINS STREET
Baltimore, MD"
HOLLINSWOOD INN,Lakeland,"2839 ANNAPOLIS RD
Baltimore, MD"
HOLLYWOOD DINER,Downtown,"400 SARATOGA ST
Baltimore, MD"
HOLY FRIJOLES,Hampden,"908 36TH ST
Baltimore, MD"
HOMETOWN DELI,Downtown,"311 CALVERT ST
Baltimore, MD"
HOMETOWN GIRL & COMPANY,Hampden,"1001 36TH ST
Baltimore, MD"
HONEY'S LOUNGE,Upper Fells Point,"1722 GOUGH ST
Baltimore, MD"
HOOTERS OF AMERICA,Inner Harbor,"301 LIGHT ST
Baltimore, MD"
HOPKINS DELI,Tuscany-Canterbury,"110 39TH ST
Baltimore, MD"
HOPKINS PLAZA DELI,Downtown,"Hopkins Pl
Baltimore, MD"
HOPKINS SUBWAY,Charles Village,"3233 ST PAUL ST
Baltimore, MD"
HORSEFEATHER'S PUB,Baltimore-Linwood,"40 STREEPER ST
Baltimore, MD"
HOT TOMATOES-CAFÂ FORTUNATO,Fells Point,"717 BROADWAY
Baltimore, MD"
HOULIHANS OF MARYLAND,Inner Harbor,"621 PRATT ST
Baltimore, MD"
HOWL AT THE MOON  (AKA 22 MARKET PL),Downtown,"34 MARKET PL
Baltimore, MD"
HUCKAS,Canton,"2324 BOSTON ST
Baltimore, MD"
HULL STREET BLUES,Locust Point,"1222 HULL ST
Baltimore, MD"
HUNAN EMPIRE,Riverside,"849 FORT AVE
Baltimore, MD"
HYATT REGENCY BALTIMORE      (PISCES & BAR),Inner Harbor,"300 LIGHT ST
Baltimore, MD"
HYATT REGENCY BALTIMORE    (Perks -LOBBY BAR),Inner Harbor,"300 LIGHT ST
Baltimore, MD"
HYATT REGENCY BALTIMORE   (CAFETERIA),Inner Harbor,"300 LIGHT ST
Baltimore, MD"
HYATT REGENCY BALTIMORE  (KITCHEN/BANQUET ROOM),Inner Harbor,"300 LIGHT ST
Baltimore, MD"
HYATT REGENCY OF BALTIMORE  (Bistro-300 & Bar),Inner Harbor,"300 LIGHT ST
Baltimore, MD"
I BAR,Charles North,"2118 MARYLAND AVE
Baltimore, MD"
"I.B.P.O.E. OF W., INCORPORATED",East Baltimore Midway,"2008 HARFORD RD
Baltimore, MD"
I'CON INN,Kresson,"45 KRESSON ST
Baltimore, MD"
IGGIES,Mount Vernon,"818 CALVERT ST
Baltimore, MD"
IGUANA CANTINA BAR,Inner Harbor,"124 MARKET PLACE
Baltimore, MD"
IKAN SEAFOOD,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD"
IKAROS RESTAURANT,Greektown,"4805 EASTERN AVE
Baltimore, MD"
IKE'S PLACE,Carrollton Ridge,"2248 WILKENS Ave
Baltimore, MD"
"IL MONDO,INC",Little Italy,"217 HIGH ST
Baltimore, MD"
ILLUSIONS MAGIC BAR & LOUNGE,Federal Hill,"1025 27 S CHARLES ST
Baltimore, MD"
IMPRESSED CAFÂ,Downtown,"200 LEXINGTON ST
Baltimore, MD"
INCOGNITO TAVERN,Carrollton Ridge,"424 PAYSON ST
Baltimore, MD"
INDIA RASOI RESTAURANT,Little Italy,"411 HIGH ST
Baltimore, MD"
INDIA TANDOOR,Charles North,"2101 CHARLES ST
Baltimore, MD"
INDIGMA,Mount Vernon,"802 CHARLES ST
Baltimore, MD"
INSIDE RAIL BAR,Pimlico Good Neighbors,"Hayward Ave
Baltimore, MD"
INTERCONTINENTAL HARBOR COURT-BRIGHTON'S,Otterbein,"550 LIGHT ST
Baltimore, MD"
INTERCONTINENTAL HARBOR-EXPRESSO,Otterbein,"550 LIGHT ST
Baltimore, MD"
INTRINSICS RESTAURANT,Woodmere,"5209 REISTERSTOWN RD
Baltimore, MD"
IRISH PUB,Highlandtown,"418 CLINTON ST
Baltimore, MD"
ISIS ( 226-228),Downtown,"226 PARK AVE
Baltimore, MD"
ISLAND II,Fells Point,"1928 FLEET ST
Baltimore, MD"
ITALIANOS RESTAURANT CARRYOUT,Morrell Park,"2229 WASHINGTON BLVD
Baltimore, MD"
ixia restaurant,Mount Vernon,"518 charles st
Baltimore, MD"
J & J LOUNGE,Coppin Heights/Ash-Co-East,"2738 BAKER ST
Baltimore, MD"
J & J TAVERN,Carrollton Ridge,"1801 RAMSAY ST
Baltimore, MD"
J & M CORNER BAR,Baltimore Highlands,"3527 BALTIMORE ST
Baltimore, MD"
J & S BAR & LOUNGE,Ellwood Park/Monument,"301 LONEYS LN
Baltimore, MD"
J RAY'S CAFE,Washington Village,"900 CAREY ST
Baltimore, MD"
"J. PATRICK, INC.",Locust Point,"1367 ANDRE ST
Baltimore, MD"
J. PAUL'S,Inner Harbor,"301 LIGHT ST
Baltimore, MD"
J. T.'S SALOON,Rosemont East,"6317 BELAIR RD
Baltimore, MD"
JACK'S BISTRO,Canton,"3123 ELLIOTT ST
Baltimore, MD"
JACK'S LIQUOR & LOUNGE,Sharp-Leadenhall,"141 HAMBURG ST
Baltimore, MD"
JAMES JOYCE IRISH PUB AND RESTAURANT,Inner Harbor,"616 PRESIDENT ST
Baltimore, MD"
KAMP  (2312-14),Canton,"2312 BOSTON ST
Baltimore, MD"
KASBAH CAFÂ,Fells Point,"726 BROADWAY
Baltimore, MD"
KAWASAKI CAFÂ,Fells Point,"907 ANN ST
Baltimore, MD"
KAY-CEE CLUB,Homeland,"201 HOMELAND AVE
Baltimore, MD"
K'C' CORNER TAVERN,Westfield,"6626 HARFORD RD
Baltimore, MD"
KELLY'S,Canton,"2106 EASTERN AVE
Baltimore, MD"
KELLY'S BAR & LOUNGE,Carrollton Ridge,"291 PULASKI ST
Baltimore, MD"
KENTUCKY  FRIED  CHICKEN,Glenham-Belford,"6219 BELAIR RD
Baltimore, MD"
KENTUCKY FRIED CHICKEN,Downtown,"100 HOWARD ST
Baltimore, MD"
KENTUCKY FRIED CHICKEN,Charles North,"1821 ST PAUL ST
Baltimore, MD"
KENTUCKY FRIED CHICKEN,Better Waverly,"2853 GREENMOUNT AVE
Baltimore, MD"
KENTUCKY FRIED CHICKEN,Irvington,"3815 WILKENS AVE
Baltimore, MD"
KENTUCKY FRIED CHICKEN,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD"
KENTUCKY FRIED CHICKEN  Y070-074,Liberty Square,"3300 REISTERSTOWN RD
Baltimore, MD"
KFC / LONG JOHN SILVERS,Frankford,"5000 SINCLAIR LN
Baltimore, MD"
KFC-Y320011,Glen,"6600 REISTERSTOWN RD
Baltimore, MD"
KICK BACK JACK'S,Frankford,"4825 BELAIR RD
Baltimore, MD"
KIKU SUSHI RESTAURANT,Federal Hill,"1017 LIGHT ST
Baltimore, MD"
"KIMMY'S RESTAURANT & CARRYOUT, INC.",Seton Business Park,"5732 WABASH AVE
Baltimore, MD"
KIM'S LIQUORS,Northwest Community Action,"2863 NORTH AVE
Baltimore, MD"
KIM'S RESTAURANT & CARRYOUT,Federal Hill,"1121 LIGHT ST
Baltimore, MD"
KING BUFFET,Lakeland,"2201 PATAPSCO AVE
Baltimore, MD"
"KING'S GARDEN CAFÂ, LLC",Downtown,"218 CHARLES ST
Baltimore, MD"
KING'S PIZZA EXPRESS,Hampden,"907 36TH ST
Baltimore, MD"
KIRBIE'S GRILL & CAFÂ,Downtown,"410 REDWOOD ST
Baltimore, MD"
KIRBY'S KORNER,Baltimore-Linwood,"35 POTOMAC ST
Baltimore, MD"
KISLING'S TAVERN,Canton,"2100 FLEET ST
Baltimore, MD"
KISS CAFÂ,Canton,"2400 BOSTON ST
Baltimore, MD"
KITTY'S LOUNGE,Abell,"3208 GREENMOUNT AVE
Baltimore, MD"
K-MART MORAVIA  STORE #3229,Frankford,"5100 SINCLAIR LN
Baltimore, MD"
KNOTTY PINE INN,Canton,"801 CONKLING ST
Baltimore, MD"
KOBA CAFÂ,Riverside,"644 FORT AVE
Baltimore, MD"
"KOCO'S PUB, INC.",Lauraville,"4301 HARFORD RD
Baltimore, MD"
KOLPERS RESTAURANT AND BAR,Jones Falls Area,"1520 CLIPPER RD
Baltimore, MD"
KOOPER'S TAVERN,Fells Point,"1702 THAMES ST
Baltimore, MD"
KOSHER BITE,Reisterstown Station,"6309 REISTERSTOWN RD
Baltimore, MD"
KOZY KORNER,East Baltimore Midway,"701 BARTLETT AVE
Baltimore, MD"
KRISTO'S CARRYOUT,Downtown,"206 SARATOGA ST
Baltimore, MD"
K'S KORNER,Westport,"2300 SIDNEY AVE
Baltimore, MD"
KUANG NING CARRYOUT,Northwest Community Action,"3127 NORTH AVE
Baltimore, MD"
KUMARI RESTAURANT & BAR,Mount Vernon,"911 CHARLES ST
Baltimore, MD"
Kwang Moo Liquor,Tremont,"4742 Frederick Ave
Baltimore, MD"
L. P. DOCKS,Locust Point,"1476 REYNOLDS ST
Baltimore, MD"
L.P. STEAMERS,Riverside,"1100 FORT AVE
Baltimore, MD"
LA  CAZUELA RESTAURANT,Fells Point,"1718 EASTERN AVE
Baltimore, MD"
LA MARSA,Fells Point,"706 BROADWAY
Baltimore, MD"
LA ROCA,Ellwood Park/Monument,"3210 PULASKI HWY
Baltimore, MD"
LA ROCA BRUJA,SBIC,"1453 LIGHT ST
Baltimore, MD"
LA RUMBA,Washington Hill,"1650 54 E PRATT ST
Baltimore, MD"
LA SCALA RISTORANTE ITALIANO,Little Italy,"1012 EASTERN AVE
Baltimore, MD"
"LA SIRENITA RESTAURANT, II",Brewers Hill,"3928 EASTERN AVE
Baltimore, MD"
LA TAVOLA RESTAURANT,Little Italy,"248 ALBEMARLE ST
Baltimore, MD"
LADY D'S CAFÂ,Better Waverly,"2637 GREENMOUNT AVE
Baltimore, MD"
LAGERS PUB,Canton,"2522 FAIT AVE
Baltimore, MD"
LAHOR KABAB HOUSE,Charles North,"2110 CHARLES ST
Baltimore, MD"
LA'RAE,Oliver,"1000 HOFFMAN ST
Baltimore, MD"
LARRY FLYNT'S HUSTLER CLUB,Downtown,"18 CUSTOM HOUSE AVE
Baltimore, MD"
LAS ESPERANZA,Fells Point,"529 BOND ST
Baltimore, MD"
"LAS PALMAS MEXICAN RESTAURANT, INC.",Fells Point,"1622 EASTERN AVE
Baltimore, MD"
LATASCA,Inner Harbor,"201 PRATT ST
Baltimore, MD"
LATIN PALACE  (509-13),Fells Point,"509 BROADWAY
Baltimore, MD"
LATIN QUARTERS,Greektown,"646 NEWKIRK ST
Baltimore, MD"
LAVA LOUNGE,Canton Industrial Area,"1301 PONCA ST
Baltimore, MD"
LEADBETTERS II,Fells Point,"1639 THAMES ST
Baltimore, MD"
LEAR'S II,Canton,"3500 O DONNELL ST
Baltimore, MD"
LEBANESE TAVERNA   (AKA 719 S. PRESIDENT STREET),Inner Harbor,"801 ALICEANNA ST
Baltimore, MD"
LED ENTERPRISES LTD.,Carrollton Ridge,"514 PULASKI ST
Baltimore, MD"
LEGAL SEA FOODS,Inner Harbor,"100 PRATT ST
Baltimore, MD"
LEGEND RESTAURANT,Upton,"614 LAURENS ST
Baltimore, MD"
LEMONGRASS BALTIMORE,Little Italy,"1300 BANK STREET
Baltimore, MD"
LENNY'S DELI OF LOMBARD STREET,Jonestown,"1150 LOMBARD ST
Baltimore, MD"
LEN'S SANDWICH SHOP,Broadway East,"1500 WASHINGTON ST
Baltimore, MD"
LEON'S BAR,Riverside,"1740 LIGHT ST
Baltimore, MD"
LEVEL'S LOUNGE,Penrose/Fayette Street Outreach,"322 FRANKLINTOWN RD
Baltimore, MD"
LIGHT STREET CAFÂ - 17th FLOOR,Inner Harbor,"100 LIGHT ST
Baltimore, MD"
LIGHT STREET TAVERN,SBIC,"1400 LIGHT ST
Baltimore, MD"
LIKE FATHER AND SON,Penrose/Fayette Street Outreach,"228 MONROE ST
Baltimore, MD"
LIL'S PLACE,Mondawmin,"1909 PULASKI ST
Baltimore, MD"
LIME,Riverside,"801 FORT AVE
Baltimore, MD"
LINDEN DELI,Mount Vernon,"890 LINDEN AVE
Baltimore, MD"
LINDEN LOUNGE & BAR,Reservoir Hill,"904 NORTH AVE
Baltimore, MD"
"LITHUANIAN HALL ASSOCIATION, INC.",Hollins Market,"851 HOLLINS ST
Baltimore, MD"
LITTLE BEAVER SOCIAL CLUB,Greektown,"600 LEHIGH ST
Baltimore, MD"
LITTLE HAVANA,Inner Harbor,"1325 key HWY
Baltimore, MD"
LITTLE TAVERN SHOPS,Highlandtown,"3515 EASTERN AVE
Baltimore, MD"
LITTLE TAVERN SHOPS(6412-14),Broening Manor,"6412 HOLABIRD AVE
Baltimore, MD"
LOCO HOMBRE,Evergreen,"411 COLDSPRING LN
Baltimore, MD"
LOCUST POINT TAVERN,Locust Point,"1515 CLEMENT ST
Baltimore, MD"
LONG HING CARRYOUT,Johnston Square,"1131 GREENMOUNT
Baltimore, MD"
LONG JOHN SILVERS/A &W RESTAURANTS,Glen,"6602 REISTERSTOWN RD
Baltimore, MD"
LONG JOHN'S PUB,Remington,"398 29TH ST
Baltimore, MD"
LONGWOOD CAFE',Gwynns Falls,"3001 FREDERICK AVE
Baltimore, MD"
looney's pub,Canton,"2900 o donnell st
Baltimore, MD"
LOS MARIACHIS RESTAURANT,Canton,"2227 EASTERN AVE
Baltimore, MD"
LOUISIANA,Fells Point,"1708 ALICEANNA ST
Baltimore, MD"
LOUNGE 51,Middle East,"633 DUNCAN ST
Baltimore, MD"
LOU'S BAR,Pulaski Industrial Area,"4825 EASTERN AVE
Baltimore, MD"
LOWELL LIQUOR,Central Park Heights,"3201 WOODLAND AVE
Baltimore, MD"
LUCA'S CAFÂ,Locust Point Industrial Area,"1230 FORT AVE
Baltimore, MD"
LULU'S OFF BROADWAY,Fells Point,"1703 ALICEANNA ST
Baltimore, MD"
LUMBINI,Downtown,"322 CHARLES ST
Baltimore, MD"
LUNA DELSEA,Inner Harbor,"300 PRATT ST
Baltimore, MD"
LUST,Downtown,"408 BALTIMORE ST
Baltimore, MD"
LYRIC THEATRE,Mid-Town Belvedere,"110 MOUNT ROYAL AVE
Baltimore, MD"
M & J'S SOUL FOOD,Charles Village,"102 25TH ST
Baltimore, MD"
M & M LIQUOR AND LOUNGE,Central Park Heights,"5142 PARK HEIGHTS AVE
Baltimore, MD"
M & S GRILL/MCCORMICK & SCHMICK'S SEAFOOD REST.,Inner Harbor,"201 PRATT ST
Baltimore, MD"
MACEO'S,Mondawmin,"1926 MONROE ST
Baltimore, MD"
MAGERK'S PUB,Federal Hill,"1061 CHARLES ST
Baltimore, MD"
MAGGIE MOORE'S IRISH PUB & RESTAURANT,Downtown,"21 EUTAW ST
Baltimore, MD"
mahaffey's pub,Canton,"2706 dillon st
Baltimore, MD"
"MAKUTI ENTERPRISES, LLC",Frankford,"5302 FRANKFORD AVE
Baltimore, MD"
MAMA'S ON THE HALF SHELL,Canton,"2901 O DONNELL ST
Baltimore, MD"
MAMMA LUCIA PIZZA,Hanlon-Longwood,"3049 MONDAWMIN MALL
Baltimore, MD"
MAMMA ROMA,Glen,"6604 REISTERSTOWN RD
Baltimore, MD"
MAMMA'S CUCINA,Hampden,"1020 41ST ST
Baltimore, MD"
MARGARETS PLACE,New Southwest/Mount Clare,"351 CALHOUN ST
Baltimore, MD"
MARIA D'S,Federal Hill,"1016 LIGHT ST
Baltimore, MD"
MARTICK'S,Downtown,"214 MULBERRY ST
Baltimore, MD"
MARYLAND CASUALTY  COMPANY (CAFÂ),Roland Park,"3910 KESWICK RD
Baltimore, MD"
MARYLAND CLUB,Mid-Town Belvedere,"1 EAGER ST
Baltimore, MD"
MARYLAND SCIENCE CENTER BEAKER'S CAFÂ,Otterbein,"601 LIGHT ST
Baltimore, MD"
MARY'S TAVERN,Upper Fells Point,"2057 GOUGH ST
Baltimore, MD"
MASTELLONE'S,North Harford Road,"7212 HARFORD RD
Baltimore, MD"
MATSURI RESTAURANT,Federal Hill,"1105 CHARLES ST
Baltimore, MD"
matthew's pizza,Canton,"3131 eastern ave
Baltimore, MD"
MAX'S ON BROADWAY,Fells Point,"735 BROADWAY
Baltimore, MD"
MAYNARD'S CAFE & RESTAURANT,Brooklyn,"3916 HANOVER ST
Baltimore, MD"
MBEPB VF #109-PERRY'S CRESENT CAFÂ,Downtown,"10 HOWARD ST
Baltimore, MD"
MBEPB VF #137--- STATE CENTER CAFÂ,Madison Park,"301 preston st
Baltimore, MD"
MBEPB VF #34,Seton Hill,"300 GREENE ST
Baltimore, MD"
MCCABE'S,Hampden,"3845 FALLS RD
Baltimore, MD"
MCCORMICK & SCHMICK SEAFOOD RESTAURANT,Inner Harbor,"711 EASTERN AVE
Baltimore, MD"
MCCRACKENS ON KEY,Riverside,"1400 KEY HIGHWAY
Baltimore, MD"
MCDONALD'S,Downtown,"101 BALTIMORE ST
Baltimore, MD"
mcdonald's,Brooklyn,"101 patapsco ave
Baltimore, MD"
mcdonald's,Inner Harbor,"200 pratt st
Baltimore, MD"
MCDONALD'S,South Clifton Park,"2001 BROADWAY
Baltimore, MD"
MCDONALD'S,Downtown,"25 HOWARD ST
Baltimore, MD"
MCDONALD'S,Better Waverly,"2840 GREENMOUNT
Baltimore, MD"
MCDONALD'S,Downtown,"31 CALVERT ST
Baltimore, MD"
mcdonald's,Violetville,"3619 wilkens ave
Baltimore, MD"
mcdonald's,Hampden,"3920 falls rd
Baltimore, MD"
MCDONALD'S,Central Park Heights,"4401 REISTERSTOWN RD
Baltimore, MD"
MCDONALD'S,Radnor-Winston,"5100 YORK RD
Baltimore, MD"
MCDONALD'S,Pulaski Industrial Area,"6001 MORAVIA RD
Baltimore, MD"
MCDONALD'S  RESTAURANT,Frankford,"5713 BELAIR RD
Baltimore, MD"
MCDONALD'S #5437,Baltimore Highlands,"3401 PULASKI HWY
Baltimore, MD"
MCDONALD'S (4526-38),Claremont-Freedom,"4526 ERDMAN AVE
Baltimore, MD"
MCDONALD'S 11851,Riverside,"825 FORT AVE
Baltimore, MD"
MCDONALD'S HAMBURGERS,Penrose/Fayette Street Outreach,"2501 FRANKLIN ST
Baltimore, MD"
MCDONALD'S HAMBURGERS,Carroll-South Hilton,"3249 FREDERICK AVE
Baltimore, MD"
MCDONALD'S HAMBURGERS,Downtown,"425 BALTIMORE ST
Baltimore, MD"
MCDONALD'S RESTAURANT,Reisterstown Station,"4205 MORTIMER AVE
Baltimore, MD"
MCDONALD'S RESTAURANT,Downtown,"45 MARKET PL
Baltimore, MD"
MCHENRY STREET PUB,New Southwest/Mount Clare,"1513 MCHENRY ST
Baltimore, MD"
MEADOW MILL ATHLETIC CLUB,Hampden,"3600 CLIPPER MILL RD
Baltimore, MD"
MEHEK,Fells Point,"811 BROADWAY
Baltimore, MD"
MELI PATISSERIE & BISTRO,Fells Point,"818 BROADWAY
Baltimore, MD"
METROPOLITAN COFFEEHOUSE AND WINE BAR,Federal Hill,"902 CHARLES ST
Baltimore, MD"
MEX RESTAURANT,Downtown,"26 MARKET PL
Baltimore, MD"
MICHAEL'S STEAK & LOBSTER HOUSE,Joseph Lee,"6207 EASTERN AVE
Baltimore, MD"
MICHELLE'S CAFÂ,Fells Point,"1836 EASTERN AVE
Baltimore, MD"
MICK 0' SHEA'S IRISH PUB,Downtown,"328 CHARLES ST
Baltimore, MD"
MIDTOWN YACHT CLUB,Mount Vernon,"15 CENTRE ST
Baltimore, MD"
"NEW REX LIQUORS,INC.",Wilson Park,"4637 YORK RD
Baltimore, MD"
NEW RITZ CABARET,Fells Point,"504 BROADWAY
Baltimore, MD"
NEW SEOUL RESTAURANT,Charles North,"1910 16 N CHARLES ST
Baltimore, MD"
"NICHIBAN OF FEDERAL HILL, INC.",Federal Hill,"1035 CHARLES ST
Baltimore, MD"
NICK'S,Carrollton Ridge,"2200 WILKENS AVE
Baltimore, MD"
NICK'S FISH HOUSE,Port Covington,"2600 INSULATOR DR
Baltimore, MD"
NIGHT OF THE COOKERS. LLC,Mount Vernon,"885 HOWARD ST
Baltimore, MD"
NIGHTSHIFT,Canton Industrial Area,"1725 PONCA ST
Baltimore, MD"
NIWANA,Charles Village,"3215 CHARLES ST
Baltimore, MD"
NO IDEA,SBIC,"1649 HANOVER ST
Baltimore, MD"
NO WAY JOSE CAFÂ,Federal Hill,"38 CROSS ST
Baltimore, MD"
NO. #1 CHINESE RESTAURANT,Highlandtown,"3710 EASTERN AVE
Baltimore, MD"
NORMA  JEANS,Downtown,"10 CUSTOM HOUSE AVE
Baltimore, MD"
NORTH POLE ICE CREAM COMPANY,Highlandtown,"3713 EASTERN AVE
Baltimore, MD"
NORTH'S CAFÂ,Arlington,"3716 BELVEDERE AVE
Baltimore, MD"
NORTHSIDE SPORTS BAR,Abell,"3100 GREENMOUNT AVE
Baltimore, MD"
OASIS NITECLUB,Downtown,"417 BALTIMORE ST
Baltimore, MD"
O'BRADY SALOON,Fairfield Area,"3432 HANOVER ST
Baltimore, MD"
O'CONNORS,Greektown,"4801 EASTERN AVE
Baltimore, MD"
O'DONNELL PUB,Canton,"531 POTOMAC ST
Baltimore, MD"
ODYSSEY LOUNGE,Sandtown-Winchester,"1323 PRESSTMAN ST
Baltimore, MD"
O'HARA'S IRISH PUB,Rosemont East,"6506 BELAIR RD
Baltimore, MD"
OK TAVERN,Biddle Street,"2301 BIDDLE ST
Baltimore, MD"
OLD BAY CAFÂ,Inner Harbor,"501 PRATT STREET
Baltimore, MD"
OLDE OBRYCKI'S CRAB HOUSE (saesonal),Upper Fells Point,"1727 PRATT ST
Baltimore, MD"
OLORI B',Better Waverly,"2637 GREENMOUNT AVE
Baltimore, MD"
OMEGA PSI PHI FRATERNITY,Easterwood,"2003 PRESBURY ST
Baltimore, MD"
ONE + ONE CARRYOUT,Sandtown-Winchester,"1550 MONROE ST
Baltimore, MD"
ONE WORLD CAFÂ,Tuscany-Canterbury,"100 UNIVERSITY PKWY
Baltimore, MD"
ONE-EYED MIKE'S,Fells Point,"708 BOND ST
Baltimore, MD"
OPEN HEARTH INN,Saint Helena,"6591 ST HELENA AVE
Baltimore, MD"
ORIENT EXPRESS,Charles Village,"3111 ST PAUL ST
Baltimore, MD"
ORLEANS LIQUORS,McElderry Park,"401 MONTFORD AVE
Baltimore, MD"
ottobar,Remington,"2549 howard st
Baltimore, MD"
OUT TO LUNCH,Inner Harbor,"109 MARKET PL
Baltimore, MD"
OUTBACK STEAKHOUSE,Canton,"2400 BOSTON ST
Baltimore, MD"
OVERLEA   DINER,Rosemont East,"6652 BELAIR RD
Baltimore, MD"
OXFORD TAVERN,Sandtown-Winchester,"1741 NORTH AVE
Baltimore, MD"
P & S JAMAICAN & AMERICAN RESTAURNAT & CARRYOUT,Pimlico Good Neighbors,"5218 PARK HEIGHTS AVE
Baltimore, MD"
P.J.'S PUB,Charles Village,"3333 CHARLES ST
Baltimore, MD"
PAIK'S PLACE,Fairfield Area,"3563 FAIRFIELD RD
Baltimore, MD"
PAK'S LIQUORS,Franklin Square,"300 GILMOR ST
Baltimore, MD"
PALOMA'S (351-55),New Southwest/Mount Clare,"351 WOODYEAR ST
Baltimore, MD"
PANADERIA HERMANOS NAVARRO LLC,Highlandtown,"3712 EASTERN AVE
Baltimore, MD"
PANDA EXPRESS # 1152,Reisterstown Station,"6514 REISTERSTOWN RD
Baltimore, MD"
PANERA BREAD,Inner Harbor,"600 PRATT ST
Baltimore, MD"
PANERA BREAD,Lake Walker,"6307 1 2 YORK RD
Baltimore, MD"
PAPA  JOHNS  PIZZA,Waltherson,"5246 HARFORD RD
Baltimore, MD"
PAPA JOHN'S,Abell,"347 33RD ST
Baltimore, MD"
PAPA JOHN'S PIZZA 730,Cross Keys,"4535 FALLS RD
Baltimore, MD"
PAPERMOON DINER,Remington,"227 29TH ST
Baltimore, MD"
PARADISE OF PARK HEIGHTS,Central Park Heights,"4448 PARK HEIGHTS AVE
Baltimore, MD"
PARADOX,Carroll - Camden Industrial Area,"1310 RUSSELL ST
Baltimore, MD"
PARK  AVE.  SPORTS  BAR,Downtown,"412 PARK AVE
Baltimore, MD"
PARK AVENUE CAFÂ EXPRESS,Violetville,"3700 KOPPERS ST
Baltimore, MD"
PARK INN,Canton,"2239 EASTERN AVE
Baltimore, MD"
Parkside Restaurant,Baltimore-Linwood,"2901 Baltimore St
Baltimore, MD"
PARTHENON DINER,Downtown,"8 PARK AVENUE
Baltimore, MD"
PASTICCIO ITALIAN KITCHEN,Canton,"2400 BOSTON ST
Baltimore, MD"
PATRICK'S  OF PRATT STREET,Hollins Market,"131 SCHROEDER ST
Baltimore, MD"
"PATTERSON PERK, LLC",Canton,"2501 EASTERN AVE
Baltimore, MD"
PATTY CAKES,Lauraville,"2301 ARGONNE DR
Baltimore, MD"
PAUL'S,Riverside,"701 FORT AVE
Baltimore, MD"
PAZO,Fells Point,"1425 ALICEANNA ST
Baltimore, MD"
PAZZA LUNA,Locust Point,"1401 CLEMENT ST
Baltimore, MD"
peabody court a clairon hotel,Mount Vernon,"612 cathedral st
Baltimore, MD"
PEARL'S,Fells Point,"1900 ALICEANNA ST
Baltimore, MD"
PEIWEI ASIAN DINER,Cedarcroft,"6302 YORK RD
Baltimore, MD"
peking house,Brooklyn,"3606 hanover st
Baltimore, MD"
PENN LIQUORS,Johnston Square,"1041 GREENMOUNT AVE
Baltimore, MD"
PENN RESTAURANT & CARRYOUT,University Of Maryland,"663 PRATT ST
Baltimore, MD"
PENN STREET TAVERN,Ridgely's Delight,"213 PENN ST
Baltimore, MD"
PENNINGTON   STATION,Curtis Bay,"4901 PENNINGTON AVE
Baltimore, MD"
PENNINGTON'S PUB      (5 & 7 W. PATAPSCO AVE.),Brooklyn,"7 PATAPSCO AVE
Baltimore, MD"
PEPINO'S INCORPORATED,Little Italy,"301 EXETER ST
Baltimore, MD"
PEPPER'S LIQUOR'S,Woodmere,"5440 REISTERSTOWN RD
Baltimore, MD"
PERGUSA ENTERPRISES,Rosebank,"5928 YORK RD
Baltimore, MD"
PETALO'S,Little Italy,"1002 EASTERN AVE
Baltimore, MD"
PETERS POUR HOUSE AND PUB 110,Downtown,"111 MERCER ST
Baltimore, MD"
PETE'S GRILLE,Better Waverly,"3130 GREENMOUNT AVE
Baltimore, MD"
"PETE'S INN, INCORPORATED",Fells Point,"504 ANN ST
Baltimore, MD"
PETIT LOUIS BISTRO,Roland Park,"4800 ROLAND AVE
Baltimore, MD"
PETTIFORD'S SEAFOOD & SOUL FOOD,East Baltimore Midway,"2002 HARFORD RD
Baltimore, MD"
PF CHANGS CHINA BISTRO,Inner Harbor,"600 PRATT ST
Baltimore, MD"
PHANTOM'S BAR AND GRILL,Belair-Edison,"3539 BELAIR RD
Baltimore, MD"
